,Confirmed,Deaths,Active
2020-01-22,555.0,17.0,510.0
2020-01-23,653.0,18.0,605.0
2020-01-24,941.0,26.0,879.0
2020-01-25,1439.0,42.0,1358.0
2020-01-26,2119.0,56.0,2011.0
2020-01-27,2932.0,82.0,2789.0
2020-01-28,5584.0,131.0,5346.0
2020-01-29,6171.0,133.0,5912.0
2020-01-30,8241.0,171.0,7927.0
2020-01-31,9931.0,213.0,9496.0
2020-02-01,12055.0,259.0,11512.0
2020-02-02,16804.0,362.0,15970.0
2020-02-03,19898.0,426.0,18849.0
2020-02-04,23912.0,492.0,22568.0
2020-02-05,27656.0,564.0,25968.0
2020-02-06,30838.0,634.0,28717.0
2020-02-07,34412.0,719.0,31682.0
2020-02-08,37141.0,806.0,33719.0
2020-02-09,40232.0,906.0,36082.0
2020-02-10,42844.0,1013.0,37885.0
2020-02-11,44884.0,1113.0,39088.0
2020-02-12,45303.0,1118.0,39035.0
2020-02-13,60451.0,1371.0,52785.0
2020-02-14,66968.0,1523.0,57387.0
2020-02-15,69113.0,1666.0,58052.0
2020-02-16,71307.0,1770.0,58672.0
2020-02-17,73341.0,1868.0,58890.0
2020-02-18,75219.0,2007.0,58860.0
2020-02-19,75722.0,2122.0,57479.0
2020-02-20,76280.0,2247.0,55856.0
2020-02-21,76924.0,2251.0,55783.0
2020-02-22,78699.0,2458.0,53355.0
2020-02-23,79085.0,2469.0,53222.0
2020-02-24,79670.0,2629.0,51814.0
2020-02-25,80515.0,2708.0,49902.0
2020-02-26,81500.0,2770.0,48346.0
2020-02-27,82859.0,2814.0,46768.0
2020-02-28,84227.0,2872.0,44644.0
2020-02-29,86118.0,2941.0,43395.0
2020-03-01,88475.0,2996.0,42763.0
2020-03-02,90425.0,3086.0,41734.0
2020-03-03,92962.0,3161.0,41569.0
2020-03-04,95243.0,3255.0,40814.0
2020-03-05,98005.0,3349.0,40856.0
2020-03-06,101925.0,3461.0,42594.0
2020-03-07,105986.0,3559.0,44062.0
2020-03-08,109971.0,3804.0,45466.0
2020-03-09,113772.0,3997.0,47253.0
2020-03-10,119441.0,4286.0,50718.0
2020-03-11,130029.0,4688.0,58141.0
2020-03-12,132507.0,4793.0,59193.0
